No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
273,IDPR,Indonesia Pondasi Raya Tbk PT,10 Des 2015,2003000000,UTAMA
274,IGAR,Champion Pacific Indonesia Tbk PT,05 Nov 1990,972204500,UTAMA
275,IIKP,Inti Agri Resources Tbk PT,20 Okt 2002,33600000000,PENGEMBANGAN
276,IKAI,Intikeramik Alamasri Industri Tbk PT,04 Jun 1997,12096181261,Utama
277,IKBI,Sumi Indo Kabel Tbk PT,21 Jan 1991,1224000000,PENGEMBANGAN
278,IMAS,Indomobil Sukses Internasional Tbk PT,15 Sep 1993,2765278412,UTAMA
279,IMJS,Indomobil Multi Jasa Tbk PT,10 Des 2013,5769550000,UTAMA
280,IMPC,Impack Pratama Industri Tbk PT,17 Des 2014,4833500000,PENGEMBANGAN
281,INAF,Indofarma (Persero) Tbk PT,17 Apr 2001,3099267500,Utama
282,INAI,Indal Aluminium Industry Tbk PT,05 Des 1994,633600000,PENGEMBANGAN
283,INCF,Indo Komoditi Korpora Tbk PT,18 Des 1989,1438370465,PENGEMBANGAN
284,INCI,Intanwijaya Internasional Tbk PT,24 Jul 1990,196121237,UTAMA
285,INCO,COLUMBIA ETF TR/COLUMBIA INDIA CONS,16 Mei 1990,9936338720,UTAMA
286,INDF,Indofood Sukses Makmur Tbk PT,14 Jul 1994,8780426500,UTAMA
287,INDR,Indie Ranch Media Inc,03 Ags 1990,654351707,UTAMA
288,INDS,PACER FUNDS TR/BENCHMARK INDL RL E,10 Ags 1990,656249710,UTAMA
289,INDX,Tanah Laut Tbk PT,17 Mei 2001,437913588,PENGEMBANGAN
290,INDY,ISHARES TR/INDIA 50 ETF,11 Jun 2008,5210192000,Utama
291,INKP,Indah Kiat Pulp and Paper Tbk PT,16 Jul 1990,5470982941,UTAMA
292,INOV,Inovalon Holdings Inc,10 Jul 2019,1808221900,PENGEMBANGAN
293,INPC,Bank Artha Graha Internasional Tbk PT,29 Ags 1990,15638233267,UTAMA
294,INPP,International Public Partnerships Ltd,01 Des 2004,11181971732,PENGEMBANGAN
295,INPS,Indah Prakasa Sentosa Tbk PT,06 Apr 2018,650000000,PENGEMBANGAN
296,INRU,LYX UC MSCI IND/CIV,18 Jun 1990,1388883283,PENGEMBANGAN
297,INTA,Intracom Holdings SA,23 Ags 1993,3336576462,PENGEMBANGAN
298,INTD,Inter Delta Tbk PT,18 Des 1989,591828000,PENGEMBANGAN
299,INTP,Integrated Pharmaceuticals Inc,05 Des 1989,3681231699,UTAMA
300,IPCC,Indonesia Kendaraan Terminal Tbk PT,09 Jul 2018,1818384820,PENGEMBANGAN
301,IPCM,Jasa Armada Indonesia Tbk PT,22 Des 2017,5284811100,Pengembangan
302,IPOL,ISHS V/SHS USD,09 Jul 2010,6443379509,UTAMA
303,IPTV,MNC Vision Networks Tbk PT,08 Jul 2019,35224848184,UTAMA
